epoch,train_loss,train_acc,val_loss,val_acc
1,1.891669900912159,21.963443396226413,1.9047179559491716,23.349056603773587
2,1.3388504087924957,53.09551886792453,0.949660673456372,71.22641509433963
3,0.9576246311079781,71.34433962264151,0.7789345586074973,77.35849056603774
4,0.8638582066544946,74.23349056603774,0.7431239648809973,80.18867924528303
5,0.8223047863762334,75.85495283018868,0.7054076740201914,81.13207547169812
6,0.7704431695758172,78.47877358490565,0.6577271015014289,84.90566037735849
7,0.7685441251070995,78.41981132075472,0.6675512430802831,83.25471698113208
8,0.736973264026192,80.12971698113208,0.641612633781613,84.19811320754717
9,0.7212240735314926,80.5129716981132,0.6211582444748789,86.08490566037736
10,0.7025366880983677,81.33844339622641,0.6116078119232969,85.61320754716981
11,0.6920510024394629,82.13443396226415,0.5926183293450553,86.55660377358491
12,0.6767537408279922,82.22287735849056,0.6204504831781927,84.43396226415094
13,0.6738094709954172,82.72405660377359,0.5804324217562405,86.55660377358491
14,0.6524200034591386,83.46108490566037,0.5916112239630718,85.14150943396226
15,0.6380173097241599,84.43396226415094,0.5499511377991371,88.20754716981132
16,0.6244467013287094,84.7877358490566,0.5586199282475237,87.5
17,0.6139895747292716,85.55424528301887,0.5532671258134662,88.44339622641509
18,0.5951334662594885,85.81957547169812,0.529929740248986,88.44339622641509
19,0.5866078287363052,86.11438679245283,0.5278756146161061,89.15094339622641
20,0.5680902656519188,87.02830188679245,0.4991073912044741,91.27358490566037
21,0.5705953962960333,87.55896226415094,0.5183997013658848,89.62264150943396
22,0.5411262621857086,88.73820754716981,0.5034844251173847,89.15094339622641
23,0.5322635362170777,89.12146226415094,0.49093971443626117,90.80188679245283
24,0.5161986637790248,89.38679245283019,0.4927967629342709,90.09433962264151
25,0.5085079141382901,90.30070754716981,0.4826966310447117,89.62264150943396
26,0.4994933304359328,90.74292452830188,0.49793445445456597,91.27358490566037
27,0.4947549270571403,90.89033018867924,0.4797745369515329,91.98113207547169
28,0.47717011143576427,91.59787735849056,0.4814216961275856,91.27358490566037
29,0.47971456258926753,91.62735849056604,0.4776389812523464,91.27358490566037
30,0.4792093721763143,91.59787735849056,0.4728629470996137,91.74528301886792
31,0.46419918059178117,92.39386792452831,0.4637727568734367,92.21698113207547
32,0.4545376733788904,92.42334905660378,0.4578141193344908,92.21698113207547
33,0.4467976917073412,93.21933962264151,0.4698889165554406,91.50943396226415
34,0.4374280093975787,93.39622641509435,0.4623568372906379,91.74528301886792
35,0.44150741567026897,92.83608490566037,0.45311118746703527,92.45283018867924
36,0.43726884137909366,93.48466981132076,0.4596469908390405,91.74528301886792
37,0.4348128395822813,94.07429245283019,0.45606851352835603,91.74528301886792
38,0.4314200686958601,93.77948113207547,0.453697551533861,91.98113207547169
39,0.43049823197553744,93.63207547169812,0.45750017211122335,92.21698113207547
40,0.4331684112548828,93.60259433962264,0.4567729667672571,91.98113207547169
