epoch,train_loss,train_acc,val_loss,val_acc
1,1.101405573564337,63.79433574555525,0.7860240484238352,76.8048606147248
2,0.7592359340767071,77.24247297418029,0.7093658566560125,78.59185132237312
3,0.6692527334907148,80.04333065308676,0.6988487577250891,79.77126518942102
4,0.6093233677600287,82.3617439471098,0.6951065152521385,79.50321658327377
5,0.5482191232566507,84.68239077995176,0.7127928223841696,79.28877769835597
6,0.49238960534523224,87.1861877959439,0.753171702637853,78.57398141529664
7,0.4432556220340865,89.03779147681587,0.7862981264722441,78.21658327376699
8,0.4016593845122985,90.94076655052264,0.834010435139136,78.23445318084346
9,0.36611833136149646,92.36353077816493,0.8794361326505321,77.51965689778413
10,0.332319558518806,93.83096578218529,0.9006032101847258,78.14510364546105
11,0.3085477381776913,94.7846868578576,0.9098757208884828,77.37669764117227
12,0.2845010960708086,95.7987134816403,0.9633639099940476,78.14510364546105
13,0.26683973796904636,96.56035021888681,0.9929678352327327,77.59113652609007
14,0.2561182829699588,96.98025551684088,0.9988455964975309,77.71622587562544
15,0.24676682171484618,97.38452604306262,0.9991723235970825,77.59113652609007
16,0.2388641348803085,97.67711962833914,0.9967987612369147,78.09149392423159
17,0.23084995263193478,98.01215045117485,1.021241399882264,77.9842744817727
18,0.22840139075193777,98.04788707227732,1.0223708969086216,78.07362401715511
19,0.22398875694614434,98.27124095416778,1.0154371243702505,78.16297355253752
20,0.2227749841484597,98.33824711873493,1.028375848350225,78.14510364546105
