epoch,train_loss,train_accuracy,validation_loss,validation_accuracy
1,1.1078241759031089,58.822779322128994,0.9237802719281337,65.62653804508318
2,0.8621471819974059,68.32266455841473,0.8371440899255931,69.2292548479181
3,0.7654017794956431,72.0257070719951,0.8118214280026343,70.87311743281819
4,0.6911412704976265,74.61426640483538,0.8295091939308076,70.48922138005709
5,0.6216002898152282,77.12631659483309,0.7944740894178974,72.07402303376317
6,0.5505946585525895,79.89849787049552,0.846163198822701,71.02076976080323
7,0.4874275409574276,82.27028129861519,0.8656980990072747,70.56796928831578
8,0.4246621766227141,84.54260284103951,0.8939994651743929,71.59169209567871
9,0.37662010017025915,86.462982326388,0.9186799223292283,72.02480559110148
10,0.2503642891798384,91.36721838259672,0.9226165643615133,73.15680677232011
11,0.19814801102384,93.26719542985387,1.0074438394870282,73.45211142829018
12,0.16597525521385859,94.41738287725383,1.0346775658282723,72.97962397873806
13,0.14087134455694186,95.26408405804493,1.0849423665666642,72.94025002460872
14,0.12647047356876556,95.82005049603427,1.1233220472851189,72.66463234570331
15,0.11069999798630334,96.38111754354645,1.2007796769184864,72.44807559799193
16,0.07753852069912215,97.61801535283466,1.1699729871475295,73.69819864159858
17,0.06072302080737604,98.22498788605239,1.1903564158076434,73.59976375627522
18,0.05491987117211914,98.38565708602178,1.2086026098141698,73.61945073333989
19,0.05001951807980719,98.4953201907628,1.256210354477745,73.4816418938872
20,0.04737307192398459,98.57948024788962,1.2840448812373406,73.97381632050399
21,0.04308932211120573,98.73249853357476,1.3035360846607242,73.22571119204646
22,0.03705400981025918,98.85236285736146,1.3326520886826274,73.46195491682252
23,0.03548360977553013,98.93397260972687,1.344674582996053,73.05837188699675
24,0.0356368266573997,98.93142230496544,1.337102726801536,73.40289398562851
25,0.026777437750516785,99.20940552396011,1.3566326168780605,73.73757259572793
